 PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1371 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/2:3
 1393 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:2
 1567 root      20   0   30888   2940   2332 S   0.0  0.1   0:00.00 wpa_supplicant
 1627 root      20   0   25400   7724    812 S   0.0  0.2   0:00.00 dhclient
 1692 chris     20   0    4336    752    664 S   0.0  0.0   0:00.00 sh
 1693 chris     20   0   96140  13932   9232 S   0.0  0.4   0:00.05 urxvt
 1694 chris     20   0   83468   3896   3324 S   0.0  0.1   0:00.00 urxvt
 1695 chris     20   0   23436   5500   3424 S   0.0  0.1   0:00.02 bash
 1705 chris     20   0   23648   2912   2424 R   0.0  0.1   0:00.00 top
 4657 chris     20   0  263800   5312   4848 S   0.0  0.1   0:00.00 at-spi-bus-laun
 4663 chris     20   0  209844   6324   5652 S   0.0  0.2   0:00.02 gvfsd
 4889 chris     20   0  303532   8152   6992 S   0.0  0.2   0:00.79 gvfs-udisks2-vo
 4891 root      20   0  435320   7576   5820 S   0.0  0.2   0:39.13 udisksd
 4900 chris     20   0  206560   5956   5292 S   0.0  0.2   0:00.00 gvfs-mtp-volume
 4904 chris     20   0  300112   7608   6728 S   0.0  0.2   0:00.00 gvfs-afc-volume
 4909 chris     20   0  215640   6252   5456 S   0.0  0.2   0:00.00 gvfs-gphoto2-vo
 4913 chris     20   0  202572   5780   5240 S   0.0  0.1   0:00.00 gvfs-goa-volume
10552 chris     20   0  130820   6036   5368 S   0.0  0.2   0:00.00 gvfsd-metadata
17522 chris     20   0   13224   2612   2440 S   0.0  0.1   0:00.00 bash
17525 chris     20   0  293768  54760  24744 S   0.0  1.4   2:10.61 wicd-client
25762 chris     20   0   42124   3464   3064 S   0.0  0.1   0:01.45 dbus-daemon
25765 chris     20   0  125344   6264   5644 S   0.0  0.2   0:11.98 at-spi2-registr
25804 root      20   0   30912   5264   4356 S   0.0  0.1   0:00.69 openvpn
26197 root      20   0       0      0      0 S   0.0  0.0   0:00.20 kworker/3:2
26389 chris     20   0   13224   2820   2648 S   0.0  0.1   0:00.00 bash
28657 root      20   0       0      0      0 S   0.0  0.0   0:01.24 kworker/2:2
29994 root      20   0       0      0      0 S   0.0  0.0   0:00.76 kworker/u8:70
30141 postgres  20   0  226712  21908  20492 S   0.0  0.6   0:00.95 postgres
30143 postgres  20   0  226712   4024   2608 S   0.0  0.1   0:00.01 postgres
30144 postgres  20   0  226712   5768   4304 S   0.0  0.1   0:00.66 postgres
30145 postgres  20   0  226712   4024   2608 S   0.0  0.1   0:00.62 postgres
30146 postgres  20   0  227152   6900   5224 S   0.0  0.2   0:00.74 postgres
30147 postgres  20   0   81856   4336   2872 S   0.0  0.1   0:00.75 postgres
30638 chris     20   0   29012    320      0 S   0.0  0.0   0:00.00 xclip
30649 root      20   0       0      0      0 S   0.0  0.0   0:00.01 kworker/1:0
32161 root      20   0       0      0      0 S   0.0  0.0   0:00.20 kworker/0:0
32454 root      20   0       0      0      0 S   0.0  0.0   0:00.06 kworker/3:1
32506 root      20   0       0      0      0 S   0.0  0.0   0:00.04 kworker/1:1
